Offence,Latitude,Longitude
Theft,42.33221435,-71.05344256
Others,42.33192532,-71.08411222
Theft,42.3412875,-71.05467933
Others,42.28785393,-71.08679684
Others,42.30200898,-71.05696814
Others,42.34767067,-71.07620742
Others,42.2578406,-71.14813948
Arson,42.33004787,-71.0666544
Others,42.29706179,-71.05528404
Theft,42.30254239,-71.0595669
Others,42.28684571,-71.0854503
Public Nuisance,42.35637531,-71.06213513
Others,42.28875803,-71.08382703
Assault,42.33210843,-71.07014395
Others,42.37558378,-71.05182911
Others,42.29944215,-71.08489748
Others,42.3653748,-71.06154161
Murder,42.33822821,-71.06836053
Assault,42.32614559,-71.05349144
Others,42.29453954,-71.0866989
Theft,42.36542502,-71.05957649
Others,42.28197224,-71.08912459
Theft,42.315969,-71.066253
Others,42.31483498,-71.06587397
Theft,42.349056,-71.1504985
Assault,42.32872589,-71.08382217
Assault,42.30536545,-71.06812632
Public Nuisance,42.29755533,-71.0597091
Others,42.29474312,-71.08503786
Others,42.31483498,-71.06587397
Others,42.30029712,-71.05902229
Others,42.28709355,-71.14822128
Others,42.32077767,-71.10553808
Drugs,42.310434,-71.0613401
Assault,42.33464204,-71.10025069
Robbery,42.33738014,-71.08388901
Others,42.31620984,-71.08234966
Robbery,42.27130225,-71.07442362
Others,42.35249398,-71.06139299
Assault,42.35301119,-71.13261451
Others,42.33383935,-71.08029038
Others,42.37994025,-71.06060665
Others,42.26716726,-71.15073491
Drugs,42.310434,-71.0613401
Drugs,42.310434,-71.0613401
Public Nuisance,42.329055,-71.11088005
Drugs,42.310434,-71.0613401
Others,42.28406985,-71.0882492
Others,42.28709355,-71.14822128
Others,42.2957638,-71.08756002
Theft,0.0,0.0
Public Nuisance,0.0,0.0
Others,42.32938159,-71.06704418
Others,42.31506898,-71.09746579
Public Nuisance,42.28482577,-71.09137369
Missing,42.27867279,-71.08175722
Robbery,42.34862382,-71.08277637
Public Nuisance,0.0,0.0
Others,42.28387658,-71.08099354
Accident,42.33593996,-71.08008997
Robbery,42.34999733,-71.0810344
Others,42.29557336,-71.07584328
Public Nuisance,42.32287413,-71.10155354
Others,42.31126502,-71.07004003
Missing,42.29755533,-71.0597091
Theft,42.27442004,-71.13863966
Assault,42.33602919,-71.07517847
Accident,42.25621592,-71.12401947
Others,42.31925844,-71.10003222
Assault,42.28482577,-71.09137369
Assault,42.26209214,-71.11670964
Others,42.30971857,-71.10429432
Theft,42.2766839,-71.09240248
Others,42.3750813,-71.06230846
Assault,42.36580175,-71.06538257
Robbery,42.3412875,-71.05467933
Others,42.35602373,-71.06177615
Others,42.34966751,-71.13048678
Theft,42.349056,-71.1504985
Theft,0.0,0.0
Theft,42.3492468,-71.08956259
Robbery,42.3479724,-71.07849582
Theft,42.30553202,-71.07031161
Robbery,42.35512339,-71.0608798
Others,42.27589902,-71.12566696
Public Nuisance,0.0,0.0
Others,42.31957856,-71.04032766
Others,42.33468269,-71.10699046
Robbery,0.0,0.0
Others,42.31584636,-71.09824825
Others,0.0,0.0
Theft,42.34901954,-71.08130134
Others,42.2783992,-71.06636305
Others,42.30959596,-71.08745405
Others,42.29755533,-71.0597091
Public Nuisance,42.2841584,-71.0894298
Theft,42.29056228,-71.12500267
Theft,0.0,0.0
Others,42.27781735,-71.12640297
Fraud,42.25987174,-71.15001138
Theft,42.27095802,-71.0935518
Others,42.3107776,-71.06060552
Others,42.28611951,-71.09573992
Theft,42.2871482,-71.06493039
Others,42.28553308,-71.09580077
Public Nuisance,42.31921197,-71.09022694
Others,42.33355871,-71.10299967
Others,42.36643546,-71.06135413
Theft,42.29755533,-71.0597091
Robbery,42.3479724,-71.07849582
Assault,42.34942864,-71.06536641
Robbery,42.34813158,-71.08027002
Others,42.28518261,-71.16185619
Others,42.28929101,-71.10358494
Others,42.28063521,-71.1188961
Others,42.38371102,-71.06995097
Others,42.3046919,-71.11040643
Fraud,42.37663167,-71.05593195
Others,42.33970952,-71.15175699
Others,42.28105132,-71.09800332
Robbery,42.35512339,-71.0608798
Others,42.29941062,-71.11517471
Assault,42.31433704,-71.11494641
Others,42.28482577,-71.09137369
Accident,42.33069205,-71.05826064
Accident,42.37663167,-71.05593195
Others,42.33392497,-71.06656595
Others,42.35348321,-71.05770708
Others,42.29755533,-71.0597091
Accident,42.2613358,-71.11233325
Robbery,42.2956968,-71.07214055
Robbery,42.35903323,-71.05880143
Fraud,42.31432112,-71.07900586
Others,42.30262129,-71.07918399
Others,42.32866284,-71.08563401
Theft,42.28524467,-71.04079116
Others,42.349056,-71.1504985
Theft,42.31508518,-71.08508813
Public Nuisance,42.30409829,-71.05485569
Theft,42.28482577,-71.09137369
Assault,42.26817397,-71.09387677
Fraud,42.32129001,-71.07525328
Theft,42.29290562,-71.06955795
Accident,0.0,0.0
Others,42.28709355,-71.14822128
Public Nuisance,42.29755533,-71.0597091
Theft,42.33561661,-71.03641894
Others,42.25935892,-71.12032517
Robbery,42.35095909,-71.0741278
Fraud,0.0,0.0
Assault,42.37051363,-71.03336022
Theft,42.25621592,-71.12401947
Others,0.0,0.0
Others,42.28482577,-71.09137369
Accident,42.27064888,-71.10194313
Accident,42.32524607,-71.06938944
Others,42.36643546,-71.06135413
Accident,42.27258595,-71.12014397
Theft,42.29755533,-71.0597091
Theft,42.28678712,-71.0449173
Others,42.29755533,-71.0597091
Others,42.28709355,-71.14822128
Robbery,42.34657497,-71.0743865
Others,42.30565415,-71.08186812
Theft,42.349056,-71.1504985
Others,42.25589001,-71.13207001
Theft,0.0,0.0
Robbery,42.34439568,-71.08632016
Public Nuisance,42.34932471,-71.08014801
Robbery,42.33954199,-71.06940877
Theft,42.334137,-71.10465896
Assault,42.349056,-71.1504985
Robbery,42.33014012,-71.05695787
Theft,42.3412875,-71.05467933
Assault,42.29040923,-71.07693574
Assault,42.28020477,-71.0869124
Others,42.35139683,-71.08413209
Others,42.27683754,-71.0952644
Others,42.32835176,-71.07393158
Others,42.31478432,-71.07160997
Assault,42.26303952,-71.12230282
Theft,42.35892279,-71.05835354
Public Nuisance,42.32617421,-71.08118336
Others,42.24806163,-71.13269023
Accident,42.30801734,-71.08870712
Others,42.33835433,-71.1483583
Others,0.0,0.0
Assault,42.26834477,-71.15051675
Others,42.37474921,-71.05270605
Others,42.28079417,-71.07882205
Theft,42.31396145,-71.06685455
Others,42.31632131,-71.0892305
Assault,42.28593201,-71.12933705
Assault,42.29755533,-71.0597091
Others,42.31012905,-71.07484821
Others,42.33253033,-71.05248869
Others,42.31925844,-71.10003222
Others,42.31505391,-71.0822333
Public Nuisance,42.30422175,-71.07918459
Robbery,42.35512339,-71.0608798
Others,42.31538436,-71.09870021
Others,42.33556101,-71.03993098
Assault,42.36489527,-71.06050249
Theft,0.0,0.0
Public Nuisance,42.31582484,-71.05967845
Theft,42.33954199,-71.06940877
Public Nuisance,42.26274298,-71.12160702
Others,42.35892279,-71.05835354
Others,42.30610798,-71.08461803
Others,42.2656321,-71.11051694
Others,42.30108481,-71.06390782
Others,42.25398213,-71.11547745
Others,0.0,0.0
Accident,42.32015319,-71.06220376
Others,42.32872589,-71.08382217
Assault,42.27531311,-71.11587798
Robbery,42.27130225,-71.07442362
Others,42.28020819,-71.17087959
Theft,42.28709355,-71.14822128
Fraud,42.27557518,-71.08094055
Theft,42.31915678,-71.10067583
Others,42.28482577,-71.09137369
Robbery,42.35591935,-71.06000539
Others,42.25935892,-71.12032517
Drugs,42.310434,-71.0613401
Robbery,42.3746571,-71.03822833
Assault,42.3564863,-71.05928145
Accident,42.33954199,-71.06940877
Others,42.33278569,-71.03989027
Theft,42.3412875,-71.05467933
Accident,42.30959596,-71.08745405
Others,42.32659416,-71.08992059
Murder,42.25114037,-71.14229922
Theft,42.28709355,-71.14822128
Accident,42.28996858,-71.0723254
Others,42.31832089,-71.0993481
Theft,42.349056,-71.1504985
Accident,42.30461251,-71.07296566
Others,42.35043273,-71.1271048
Drugs,0.0,0.0
Others,42.33543509,-71.07840204
Missing,42.31030262,-71.11729257
Theft,42.38067032,-71.018408
Others,42.30968109,-71.105837
Theft,0.0,0.0
Others,42.28618607,-71.13876712
Public Nuisance,42.31185998,-71.08289994
Accident,42.35645002,-71.06198001
Others,42.3412875,-71.05467933
Fraud,42.37083684,-71.03397707
Others,42.34134946,-71.15122795
Accident,42.33954199,-71.06940877
Others,42.28709355,-71.14822128
Assault,42.35521429,-71.06206351
Theft,0.0,0.0
Others,42.30461251,-71.07296566
Assault,42.30971857,-71.10429432
Others,42.25621592,-71.12401947
Robbery,42.27615691,-71.09550303
Assault,42.32790482,-71.05305583
Fraud,42.27991636,-71.09674377
Others,42.27024404,-71.09825102
Theft,42.32866284,-71.08563401
Theft,42.36496663,-71.06157974
Public Nuisance,42.33954199,-71.06940877
Theft,42.28548467,-71.13894626
Others,42.27615691,-71.09550303
Theft,42.32872589,-71.08382217
Others,42.33965959,-71.06700618
Fraud,42.28482577,-71.09137369
Arson,42.39214603,-71.00893922
Others,42.28161533,-71.08086179
Drugs,42.33555954,-71.07436364
Assault,42.28672925,-71.13084452
Assault,42.33790301,-71.07145236
Public Nuisance,42.29755533,-71.0597091
Arson,42.31668732,-71.11261214
Others,42.33561661,-71.03641894
Assault,42.3412875,-71.05467933
Others,42.30655082,-71.10657722
Theft,42.349056,-71.1504985
Robbery,42.35458677,-71.12673268
Theft,42.3132476,-71.08692603
Robbery,42.35512339,-71.0608798
Public Nuisance,42.29755533,-71.0597091
Others,42.34906899,-71.155787
Missing,42.31904705,-71.09399992
Accident,42.32866284,-71.08563401
